"2011-06",78,7,1,5,"Paul","gYV6bmTSgbZMGkvXHVCowg","[]",0,2.2,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2010-07",4,23,9,19,"Annie","5AwX3A1D-PJkkrWuRpmpCA","[u'fHv7k5vWd6ryt8jH4J3teg', u'yvgSv4X_ZHcI-jkP_cZ1iQ']",1,4.3,"user","{u'photos': 1}","[]",0,0,0,0,0,0,0,0,0,0,0
"2013-08",0,0,0,1,"Jj","jf71E4whCnqvK0EymKD_CQ","[]",0,5.0,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2013-01",0,2,1,3,"Ashley","yneluytnFRAf-s4i3JDbIA","[u'hU93q0Q1IILmFbEGGy4xdQ', u'c1Jxz9vLq-zOAn8wxwXYwA', u'uJVv3nSqscK0_c8cZSlJ_A', u'h0gojDB9ajEwvCEQrr7mDw', u'6dDaq4bzuIyS-RfUYGuHgQ', u'8sASdMGLt2g4XUD3Di0VcQ', u'UsNcFF5NWnj9Wo2RMujTZQ', u'V6kXj_qlhLDXLA4_mJLeUA', u'_VNTAefAwYnVWWn2mcWl6w', u'DrLDcvbZxBUZWLhz1b0_hA', u'eYQRLJ5I9JaCWUbrJUAtzw', u'9GfqgxW06SGzR8BGaMUwjQ', u'VakONqCZjfRDBk-IsliYeA', u'pncgUwD50kP3opaet_P-Dw', u'TGtKOPx5EPx5vmEc4IO7EA', u'Gk2w_95JHHY8p5Ik2Y9bAA', u'xmTp1w7Adz2WMgBz5bmyOA']",0,3.67,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2008-07",47,107,38,58,"SeekingMy","muNkVkah1fMB616plw1KUw","[]",0,2.83,"user","{u'more': 1, u'writer': 1, u'cool': 2}","[]",0,0,0,0,0,0,0,0,0,0,0
"2013-12",1,1,0,3,"Nelson","klCitk19nqG7zK6R382lRg","[]",0,5.0,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2011-05",3,18,1,24,"Randy","_G_QjcByAzbxgClDiq6OEQ","[]",1,3.96,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2011-07",0,4,0,4,"Jessamyn","aN4ZpLty-AYcvlTE7AxRUQ","[]",0,5.0,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2013-06",0,3,0,3,"Elsa","3gzof6rbqeKDc-_9PWlCpA","[]",0,3.67,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
"2012-08",1,5,0,3,"Joshua","_lvBXBxpW0AFO3TQ4_yPzA","[u'ci5Z94G1ik7Kbq9PxOStGQ', u'lPpUERljy4DepQEJY4Bw6g', u'NNdfPF-UhvLB8FxbsuSC5A']",0,3.67,"user","{}","[]",0,0,0,0,0,0,0,0,0,0,0
